Name,Pos,Team,Salary,My_Proj,Source,ML_Prediction,PPG_Projection,Prob_Over_5,Prob_Over_10,Prob_Over_15,Prob_Over_20,Prob_Over_25,Prob_Over_30,Prob_Over_35,Prob_Over_40,Prob_Over_45,Prob_Over_50
Michael Busch,1B,CHC,4400,16.09139675919573,ML_Model,16.09139675919573,1.0,91.7%,77.7%,55.4%,31.3%,13.3%,4.1%,0.9%,0.1%,0.0%,0.0%
Ranger Suarez,P,PHI,9700,15.7,PPG_Projection,15.7,15.7,,,,,,,,,,
Joey Ortiz,SS,MIL,2900,15.327646146227416,ML_Model,15.327646146227416,6.7,90.2%,74.7%,51.6%,28.0%,11.3%,3.3%,0.7%,0.1%,0.0%,0.0%
Seiya Suzuki,OF,CHC,5200,14.969783100653334,ML_Model,14.969783100653334,9.6,89.4%,73.3%,49.8%,26.5%,10.5%,3.0%,0.6%,0.1%,0.0%,0.0%
Matt Olson,1B,ATL,5000,14.90309898989473,ML_Model,14.90309898989473,9.1,89.2%,73.0%,49.5%,26.2%,10.3%,3.0%,0.6%,0.1%,0.0%,0.0%
Taj Bradley,P,TB,7700,14.2,PPG_Projection,14.2,14.2,,,,,,,,,,
Juan Soto,OF,NYM,5800,14.05495043087718,ML_Model,14.05495043087718,10.2,87.1%,69.4%,45.3%,22.9%,8.6%,2.3%,0.4%,0.1%,0.0%,0.0%
Jackson Chourio,OF,MIL,4900,13.968532459992844,ML_Model,13.968532459992844,10.2,86.9%,69.0%,44.9%,22.5%,8.4%,2.3%,0.4%,0.1%,0.0%,0.0%
Nick Lodolo,P,CIN,8400,13.7,PPG_Projection,13.7,13.7,,,,,,,,,,
Chad Patrick,P,MIL,9200,13.3,PPG_Projection,13.3,13.3,,,,,,,,,,
Jeff McNeil,2B,NYM,3300,12.775881543260065,ML_Model,12.775881543260065,6.4,83.4%,63.6%,39.1%,18.3%,6.3%,1.6%,0.3%,0.0%,0.0%,0.0%
Mitchell Parker,P,WAS,7000,12.7,PPG_Projection,12.7,12.7,,,,,,,,,,
Frankie Montas,P,NYM,6900,12.7,PPG_Projection,12.7,12.7,,,,,,,,,,
Alek Thomas,OF,ARI,2700,12.653215379359702,ML_Model,12.653215379359702,6.9,83.1%,63.0%,38.5%,17.9%,6.1%,1.5%,0.3%,0.0%,0.0%,0.0%
Dean Kremer,P,BAL,7200,12.4,PPG_Projection,12.4,12.4,,,,,,,,,,
Matthew Liberatore,P,STL,8200,12.4,PPG_Projection,12.4,12.4,,,,,,,,,,
Josh Lowe,OF,TB,5000,12.363186661841688,ML_Model,12.363186661841688,10.4,82.1%,61.6%,37.1%,17.0%,5.7%,1.4%,0.2%,0.0%,0.0%,0.0%
Travis Adams,P,MIN,4000,12.3,PPG_Projection,12.3,12.3,,,,,,,,,,
Michael Wacha,P,KC,7900,12.2,PPG_Projection,12.2,12.2,,,,,,,,,,
Caleb Durbin,3B,MIL,3100,12.111762091615889,ML_Model,12.111762091615889,7.4,81.3%,60.4%,35.9%,16.2%,5.4%,1.3%,0.2%,0.0%,0.0%,0.0%
Bobby Witt Jr.,SS,KC,5400,12.036320738220688,ML_Model,12.036320738220688,12.5,81.0%,60.0%,35.6%,16.0%,5.3%,1.2%,0.2%,0.0%,0.0%,0.0%
Walker Buehler,P,BOS,6400,11.7,PPG_Projection,11.7,11.7,,,,,,,,,,
Sal Frelick,OF,MIL,4300,11.56983890697931,ML_Model,11.56983890697931,8.8,79.4%,57.8%,33.4%,14.6%,4.7%,1.1%,0.2%,0.0%,0.0%,0.0%
Ryne Nelson,P,ARI,7300,11.5,PPG_Projection,11.5,11.5,,,,,,,,,,
Connor Norby,3B,MIA,3700,11.48668479112557,ML_Model,11.48668479112557,6.3,79.1%,57.4%,33.0%,14.4%,4.6%,1.0%,0.2%,0.0%,0.0%,0.0%
Jo Adell,OF,LAA,4000,11.27650246802629,ML_Model,11.27650246802629,9.5,78.4%,56.3%,32.1%,13.8%,4.3%,1.0%,0.2%,0.0%,0.0%,0.0%
George Springer,OF,TOR,4800,11.247474887341816,ML_Model,11.247474887341816,9.1,78.3%,56.2%,32.0%,13.7%,4.3%,1.0%,0.1%,0.0%,0.0%,0.0%
Trevor Story,SS,BOS,3900,11.179334419528663,ML_Model,11.179334419528663,9.6,78.0%,55.9%,31.6%,13.5%,4.2%,0.9%,0.1%,0.0%,0.0%,0.0%
Gunnar Henderson,SS,BAL,4200,11.001116021066228,ML_Model,11.001116021066228,7.6,77.3%,55.0%,30.9%,13.0%,4.0%,0.9%,0.1%,0.0%,0.0%,0.0%
Matt Wallner,OF,MIN,3400,10.834951727545125,ML_Model,10.834951727545125,7.3,76.7%,54.2%,30.1%,12.6%,3.8%,0.8%,0.1%,0.0%,0.0%,0.0%
Matt McLain,2B,CIN,4100,10.834223628630903,ML_Model,10.834223628630903,8.2,76.7%,54.2%,30.1%,12.6%,3.8%,0.8%,0.1%,0.0%,0.0%,0.0%
Nolan Arenado,3B,STL,4500,10.794584096698951,ML_Model,10.794584096698951,7.2,76.6%,54.0%,30.0%,12.5%,3.8%,0.8%,0.1%,0.0%,0.0%,0.0%
Vinnie Pasquantino,1B,KC,4200,10.720545188397372,ML_Model,10.720545188397372,7.9,76.3%,53.6%,29.6%,12.3%,3.7%,0.8%,0.1%,0.0%,0.0%,0.0%
Geraldo Perdomo,SS,ARI,4400,10.715757703951317,ML_Model,10.715757703951317,8.9,76.3%,53.6%,29.6%,12.3%,3.7%,0.8%,0.1%,0.0%,0.0%,0.0%
Ceddanne Rafaela,OF,BOS,3400,10.708800708930935,ML_Model,10.708800708930935,8.7,76.2%,53.5%,29.6%,12.3%,3.7%,0.8%,0.1%,0.0%,0.0%,0.0%
Giancarlo Stanton,OF,NYY,3300,10.321130807619609,ML_Model,10.321130807619609,7.5,74.7%,51.6%,27.9%,11.3%,3.3%,0.7%,0.1%,0.0%,0.0%,0.0%
Nathan Lukes,OF,TOR,3000,10.273344279561382,ML_Model,10.273344279561382,7.5,74.5%,51.4%,27.7%,11.2%,3.3%,0.7%,0.1%,0.0%,0.0%,0.0%
Daylen Lile,OF,WAS,3000,10.190930213871184,ML_Model,10.190930213871184,6.8,74.2%,51.0%,27.4%,11.0%,3.2%,0.7%,0.1%,0.0%,0.0%,0.0%
Nick Castellanos,OF,PHI,4300,10.16451905474124,ML_Model,10.16451905474124,8.0,74.1%,50.8%,27.3%,10.9%,3.2%,0.7%,0.1%,0.0%,0.0%,0.0%
Carlos Correa,SS,MIN,3300,10.056268831975483,ML_Model,10.056268831975483,7.5,73.6%,50.3%,26.8%,10.7%,3.1%,0.6%,0.1%,0.0%,0.0%,0.0%
Kyle Schwarber,OF,PHI,5600,9.97486344809052,ML_Model,9.97486344809052,9.4,73.3%,49.9%,26.5%,10.5%,3.0%,0.6%,0.1%,0.0%,0.0%,0.0%
Eugenio Suarez,3B,ARI,4900,9.9,PPG_Projection,9.9,9.9,,,,,,,,,,
Francisco Lindor,SS,NYM,5400,9.715876380008076,ML_Model,9.715876380008076,8.9,72.2%,48.6%,25.4%,9.9%,2.8%,0.6%,0.1%,0.0%,0.0%,0.0%
